Location_Name,l_hist,l_adv,l_nat,l_rel,l_outdoor,l_lat,l_lng,image_urls
Galle Fort,0.9,0.1,0.2,0.8,1,6.0311,80.217,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Galle_Fort.jpg/960px-Galle_Fort.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/20160130_Sri_Lanka_4290_Galle_sRGB_%2825650030142%29.jpg/960px-20160130_Sri_Lanka_4290_Galle_sRGB_%2825650030142%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/AMH-6966-KB_View_of_Gale.jpg/960px-AMH-6966-KB_View_of_Gale.jpg""]"
Mirissa Whale Watching,0.0,0.8,0.9,0.3,1,5.9483,80.4714,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Mirissa-Plage_%283%29.jpg/960px-Mirissa-Plage_%283%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Mirissa-Whale_watching_%281%29.jpg/960px-Mirissa-Whale_watching_%281%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Mirissa-Whale_watching_%282%29.jpg/960px-Mirissa-Whale_watching_%282%29.jpg""]"
Hiriwadunna Village Trek,0.3,0.2,0.7,0.8,1,8.0197,80.7631,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/2018_Nanshi_River_%E5%8D%97%E5%8B%A2%E6%BA%AA%E7%A6%8F%E5%B1%B1%E4%B8%80%E8%99%9F%E6%A9%8B%E4%B8%8B.jpg/960px-2018_Nanshi_River_%E5%8D%97%E5%8B%A2%E6%BA%AA%E7%A6%8F%E5%B1%B1%E4%B8%80%E8%99%9F%E6%A9%8B%E4%B8%8B.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Becak_in_Yogyakarta.jpg/960px-Becak_in_Yogyakarta.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/0/0c/BernardCurry.png""]"
Diyaluma Falls,0.1,0.9,0.9,0.3,1,6.7303,81.0319,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Diyaluma_Falls_1.jpg/960px-Diyaluma_Falls_1.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Diyaluma_Falls_%28Koslanda%2C_Sri_Lanka%29.jpg/960px-Diyaluma_Falls_%28Koslanda%2C_Sri_Lanka%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Diyaluma_Falls.jpg/960px-Diyaluma_Falls.jpg""]"
Pidurangala Rock,0.6,0.8,0.6,0.2,1,7.9636,80.7633,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Pidurangala-Panorama_%285%29.jpg/960px-Pidurangala-Panorama_%285%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Pidurangala_Buddha_%281%29.jpg/960px-Pidurangala_Buddha_%281%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Pidurangala_Temple_%284%29.jpg/960px-Pidurangala_Temple_%284%29.jpg""]"
Moon Plains,0.1,0.5,0.9,0.4,1,6.9583,80.8,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Aristea_ecklonii_5.jpg/960px-Aristea_ecklonii_5.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/SL_Horton_Plains_NP_asv2020-01_img02.jpg/960px-SL_Horton_Plains_NP_asv2020-01_img02.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/SL_Horton_Plains_NP_asv2020-01_img15.jpg/960px-SL_Horton_Plains_NP_asv2020-01_img15.jpg""]"
Wilpattu National Park,0.2,0.6,1.0,0.2,1,8.4333,80.0,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/WilpattuNationalPark-April2014_%283%29.JPG/960px-WilpattuNationalPark-April2014_%283%29.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/d/d8/Centropus_sinensis_-Wilpattu_National_Park%2C_Sri_Lanka-8.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Dulip_Wilpattu_Python1.jpg/960px-Dulip_Wilpattu_Python1.jpg""]"
Sembuwatta Lake,0.1,0.3,0.8,0.7,1,7.4369,80.6997,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Sembuwatte_Lake%2C_Matale.jpg/960px-Sembuwatte_Lake%2C_Matale.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/8/87/Sembuwatta_Lake_with_Tea.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Sembuwatta_Lake_View.jpg/960px-Sembuwatta_Lake_View.jpg""]"
Delft Island,0.7,0.5,0.7,0.2,1,9.51,79.68,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Ancient_temple_or_Vedi_Arasan_fort.JPG/960px-Ancient_temple_or_Vedi_Arasan_fort.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Baobab_%28Adansonia_digitata%29%2C_Neduntheevu.JPG/960px-Baobab_%28Adansonia_digitata%29%2C_Neduntheevu.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/b/b1/Coral_Walls.jpg""]"
Madol Doova,0.4,0.2,0.7,0.5,1,5.9667,80.3,"[""https://upload.wikimedia.org/wikipedia/en/5/5c/MadolDoova.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/3/3f/Book_collection.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Madol_Doova_side_view_from_boat.jpg/960px-Madol_Doova_side_view_from_boat.jpg""]"
Ritigala Forest Monastery,0.9,0.5,0.8,0.2,1,8.1189,80.6483,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/A_resting_place_in_Ritigala.jpg/960px-A_resting_place_in_Ritigala.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Decorated_Urinals_-_Ritigala_Srilanka.png/960px-Decorated_Urinals_-_Ritigala_Srilanka.png"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Pathway_to_Ritigala_Monastery_-SriLanka.png/960px-Pathway_to_Ritigala_Monastery_-SriLanka.png""]"
Koggala Lake Safari,0.1,0.2,0.8,0.8,1,5.9833,80.3167,"[""N/A"", ""N/A"", ""N/A""]"
Bahirawakanda Buddha,0.7,0.2,0.3,0.5,1,7.2913,80.63,"[""https://upload.wikimedia.org/wikipedia/commons/4/4e/Bahirawakanda_buddha_statue.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Bahirawakanda_Vihara_Buddha_Statue.jpg/960px-Bahirawakanda_Vihara_Buddha_Statue.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Bahirawakanda.jpg/960px-Bahirawakanda.jpg""]"
Casuarina Beach,0.1,0.2,0.5,0.8,1,9.76,79.89,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Casuarina_Beach_1.jpg/960px-Casuarina_Beach_1.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Casuarina_Beach.jpg/960px-Casuarina_Beach.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Casuarina_beach_Sri_Lanka.jpg/960px-Casuarina_beach_Sri_Lanka.jpg""]"
Strawberry Farm Visit,0.0,0.0,0.6,0.9,0,6.94,80.74,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/202312_Dodols_sold_in_a_market_in_Sri_Lanka.jpg/960px-202312_Dodols_sold_in_a_market_in_Sri_Lanka.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/9796Food_and_delicacies_of_Bulacan_Province_16.jpg/960px-9796Food_and_delicacies_of_Bulacan_Province_16.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Chinese_pastries%2C_Pasar_Lama.jpg/960px-Chinese_pastries%2C_Pasar_Lama.jpg""]"
Yapahuwa Rock Fortress,0.9,0.4,0.4,0.1,1,7.8168,80.3107,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Batticaloa_Portuguese_%28dutch%29_fort.jpg/960px-Batticaloa_Portuguese_%28dutch%29_fort.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/SL_Galle_Fort_asv2020-01_img20.jpg/960px-SL_Galle_Fort_asv2020-01_img20.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/0/03/Yapahuwa_Lion.jpg""]"
Jaffna Fort,0.9,0.2,0.3,0.4,1,9.6611,80.0083,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Jaffna_Fort_%281%29.jpg/960px-Jaffna_Fort_%281%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/AMH-4491-NA_Bird%27s_eye_view_of_the_city_of_Jaffnapatnam.jpg/960px-AMH-4491-NA_Bird%27s_eye_view_of_the_city_of_Jaffnapatnam.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/7/72/Jaffna_fort_entrance.jpg""]"
Bambarakanda Falls,0.1,0.7,0.9,0.3,1,6.77,80.83,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Bambarakanda_Waterfall.jpg/960px-Bambarakanda_Waterfall.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/The_Tallest_beauty_of_Sri_Lanka_%2CBambarakanda_falls_%2C_Srilanka.jpg/960px-The_Tallest_beauty_of_Sri_Lanka_%2CBambarakanda_falls_%2C_Srilanka.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Bambarakanda_Falls%2CSri_Lanka.jpg/960px-Bambarakanda_Falls%2CSri_Lanka.jpg""]"
Kelaniya Raja Maha Vihara,0.9,0.0,0.1,0.5,0,6.95,79.9167,"[""https://upload.wikimedia.org/wikipedia/commons/2/2c/Kelaniya_AS1.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/116_Sanghamitta_and_the_Bodhi_Tree_%2820256206059%29.jpg/960px-116_Sanghamitta_and_the_Bodhi_Tree_%2820256206059%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Kelaniya_003.jpg/960px-Kelaniya_003.jpg""]"
Unawatuna Jungle Beach,0.1,0.5,0.7,0.8,1,6.0183,80.2525,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Dagaba-unawatuna-andres_larin.jpg/960px-Dagaba-unawatuna-andres_larin.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Unawatuna.jpg/960px-Unawatuna.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/UnawatunaBeachAtDawn.jpg/960px-UnawatunaBeachAtDawn.jpg""]"
Nallur Kandaswamy Kovil,0.9,0.0,0.0,0.6,0,9.6745,80.0293,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/House_of_Temple_car_%28chariot%29.jpg/960px-House_of_Temple_car_%28chariot%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/NallurKandaswamyKovilGopuram.jpg/960px-NallurKandaswamyKovilGopuram.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Nallur_Kandasamy_front_entrance.jpg/960px-Nallur_Kandasamy_front_entrance.jpg""]"
Pasikudah Beach,0.1,0.1,0.5,1.0,1,7.9167,81.55,"[""https://upload.wikimedia.org/wikipedia/commons/c/cf/CinnamonAir.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Colombo_Skyline_Jan_2022.jpg/960px-Colombo_Skyline_Jan_2022.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Elephants_gather_for_water_in_the_plains_at_Minneriya_National_Park_in_Sri_Lanka._It_is_one_of_the_largest_gathering_of_-_Flickr_-_Al_Jazeera_English.jpg/960px-Elephants_gather_for_water_in_the_plains_at_Minneriya_National_Park_in_Sri_Lanka._It_is_one_of_the_largest_gathering_of_-_Flickr_-_Al_Jazeera_English.jpg""]"
Jaffna Public Library,0.8,0.0,0.1,0.5,0,9.6611,80.0111,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Public_Library%2C_Jaffna.JPG/960px-Public_Library%2C_Jaffna.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Jaffna_Public_Library_%2843377195180%29.jpg/960px-Jaffna_Public_Library_%2843377195180%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Jaffna_Public_Library_from_Clock_Tower_Hotel%2C_Jaffna.jpg/960px-Jaffna_Public_Library_from_Clock_Tower_Hotel%2C_Jaffna.jpg""]"
Gregory Lake,0.1,0.2,0.6,0.8,1,6.9583,80.7764,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Gregory_Lake_2.jpg/960px-Gregory_Lake_2.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/UG-LK_Photowalk_-_2018-03-25_-_Lake_Gregory_%281%29.jpg/960px-UG-LK_Photowalk_-_2018-03-25_-_Lake_Gregory_%281%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Nuwara_Eliya_Gregory_Lake.jpg/960px-Nuwara_Eliya_Gregory_Lake.jpg""]"
Galle Face Green,0.3,0.1,0.1,0.8,1,6.9269,79.8433,"[""https://upload.wikimedia.org/wikipedia/commons/f/f0/Colombo_-_Galle_Face.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Galle_Face_beach.jpg/960px-Galle_Face_beach.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/OldParliament-November2015-01.JPG/960px-OldParliament-November2015-01.JPG""]"
Sinharaja Forest Reserve,0.1,0.7,1.0,0.2,1,6.4167,80.5,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/20160128_Sri_Lanka_4132_Sinharaja_Forest_Preserve_sRGB_%2825674474901%29.jpg/960px-20160128_Sri_Lanka_4132_Sinharaja_Forest_Preserve_sRGB_%2825674474901%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/a/ae/2023_sinharaja.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/8/85/SL60butterfly.jpg""]"
Hikkaduwa Coral Reef,0.1,0.6,0.7,0.5,1,6.1389,80.1,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Hikkaduwa3.JPG/960px-Hikkaduwa3.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Hikkaduwa_-_The_Big_Buddha_Statue_%28Tsunami_Honganji_Viharaya%29.jpg/960px-Hikkaduwa_-_The_Big_Buddha_Statue_%28Tsunami_Honganji_Viharaya%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Hikkaduwa_beach_beauty.jpg/960px-Hikkaduwa_beach_beauty.jpg""]"
Parakrama Samudra,0.4,0.1,0.6,0.8,1,7.9333,81.0,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Polonnaruwa-panta.jpg/960px-Polonnaruwa-panta.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Parakrama_Samudra_Sri_Lanka.jpg/960px-Parakrama_Samudra_Sri_Lanka.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Parakrama_samudra.jpg/960px-Parakrama_samudra.jpg""]"
Dambulla Cave Temple,1.0,0.2,0.3,0.3,0,7.8565,80.6484,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Dambulla-buddha.jpg/960px-Dambulla-buddha.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Dambulla-buddhastupa.jpg/960px-Dambulla-buddhastupa.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Dambulla-outside.jpg/960px-Dambulla-outside.jpg""]"
Muthurajawela Wetland,0.1,0.4,0.9,0.4,1,7.0333,79.85,"[""https://upload.wikimedia.org/wikipedia/commons/c/c1/Dark_at_Mangroves.png"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Black-hooded_oriole_%28Oriolus_xanthornus%29_01.jpg/960px-Black-hooded_oriole_%28Oriolus_xanthornus%29_01.jpg"", ""N/A""]"
Rose Quartz Mountain,0.4,0.6,0.8,0.2,1,7.84,80.56,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/2012_Tucson_22nd_Street_Show_18.JPG/960px-2012_Tucson_22nd_Street_Show_18.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/2012_Tucson_Gem_%26_Mineral_Show_85.JPG/960px-2012_Tucson_Gem_%26_Mineral_Show_85.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Amatista_Laye_2.jpg/960px-Amatista_Laye_2.jpg""]"
Nine Arches Bridge,0.6,0.3,0.7,0.4,1,6.8768,81.0608,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/NineArchesBridge.JPG/960px-NineArchesBridge.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Nine_Arch_Bridge-Srilanka-Andres_Larin.jpg/960px-Nine_Arch_Bridge-Srilanka-Andres_Larin.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Nine_Arches_Bridge.jpg/960px-Nine_Arches_Bridge.jpg""]"
Pedro Tea Estate,0.4,0.1,0.6,0.8,1,6.9833,80.7833,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/A_log.jpg/960px-A_log.jpg"", ""N/A"", ""N/A""]"
Ambuluwawa Tower,0.2,0.7,0.6,0.2,1,7.1614,80.5562,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Ambuluwawa_Multi_Religion_Center.jpg/960px-Ambuluwawa_Multi_Religion_Center.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Ambuluwawa_tower_top.jpg/960px-Ambuluwawa_tower_top.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/0/0e/Torre_d%27Ambuluwawa.jpg""]"
Embekke Devalaya,1.0,0.1,0.2,0.4,0,7.2186,80.5658,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Chit_Chat.JPG/960px-Chit_Chat.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Door_Frame_in_Embekka_Devalaya_2008.JPG/960px-Door_Frame_in_Embekka_Devalaya_2008.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Embekka_Bull_%26_Elephant_Wood_Carving.JPG/960px-Embekka_Bull_%26_Elephant_Wood_Carving.JPG""]"
St. Clair's Falls,0.1,0.3,0.9,0.6,1,6.9389,80.6464,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/UG-LK_Photowalk_-_2018-03-25_-_St_Clairs_Falls_%281%29.jpg/960px-UG-LK_Photowalk_-_2018-03-25_-_St_Clairs_Falls_%281%29.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/f/f0/St.ClairsFalls-Srilanka.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/UG-LK_Photowalk_-_2018-03-25_-_St_Clairs_Falls_%283%29.jpg/960px-UG-LK_Photowalk_-_2018-03-25_-_St_Clairs_Falls_%283%29.jpg""]"
Gangaramaya Temple,0.8,0.0,0.1,0.5,0,6.9169,79.855,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Gangaramaya_Temple.JPG/960px-Gangaramaya_Temple.JPG"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Navam_Perahera_of_the_Colombo_Gangarama_Temple_-_15.2.2022_Sri_Lanka.jpg/960px-Navam_Perahera_of_the_Colombo_Gangarama_Temple_-_15.2.2022_Sri_Lanka.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Colombo_Temple_bouddhiste_de_Gangaramaya_%282%29.JPG/960px-Colombo_Temple_bouddhiste_de_Gangaramaya_%282%29.JPG""]"
Riverston Gap,0.1,0.8,0.9,0.1,1,7.5167,80.7333,"[""N/A"", ""N/A"", ""N/A""]"
Elephant Rock,0.0,0.6,0.7,0.5,1,6.81,81.82,"[""https://upload.wikimedia.org/wikipedia/commons/c/cf/CinnamonAir.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Colombo_Skyline_Jan_2022.jpg/960px-Colombo_Skyline_Jan_2022.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Elephants_gather_for_water_in_the_plains_at_Minneriya_National_Park_in_Sri_Lanka._It_is_one_of_the_largest_gathering_of_-_Flickr_-_Al_Jazeera_English.jpg/960px-Elephants_gather_for_water_in_the_plains_at_Minneriya_National_Park_in_Sri_Lanka._It_is_one_of_the_largest_gathering_of_-_Flickr_-_Al_Jazeera_English.jpg""]"
Hakgala Botanical Garden,0.2,0.1,0.9,0.7,1,6.9274,80.8201,"[""https://upload.wikimedia.org/wikipedia/commons/3/37/Hakgala_Botanical_Garden.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Pigeon_Island_National_Park%2C_Trincomalee.jpg/960px-Pigeon_Island_National_Park%2C_Trincomalee.jpg"", ""https://upload.wikimedia.org/wikipedia/commons/1/16/Nock_memorial_summer_house_hakgala_botanical_garden.jpg""]"
